Citizen,Not a Citizen,Income2,Citizen%,Year,Income
14744,42431,24000,0.257874945,2005,16800
17304,49353,24000,0.259597642,2006,16000
18787,58336,22000,0.243597889,2007,18000
14620,48737,25000,0.230755875,2008,20000
22069,54118,23400,0.289668841,2009,15600
20104,47076,24000,0.299255731,2010,19000
24652,43764,25500,0.36032507,2011,18000
28351,34589,25900,0.450444868,2012,20000
31266,36888,25000,0.458755172,2013,18000
28060,36888,27000,0.432037938,2014,20000
29918,44987,30000,0.399412589,2015,20900
31339,52196,30000,0.375160113,2016,20000
43840,70636,31000,0.382962368,2017,16000
45254,62865,30500,0.41855733,2018,20000
41696,63580,32000,0.39606368,2019,17400
